KBK;OKVJeD; OKDP;Uslovija kontrakta: № zakaza (№lota);Uslovija kontrakta: Naimenovanie predmeta kontrakta;Uslovija kontrakta:Minimal'no neobhodimye trebovanija, pred#javljaemye k predmetu kontrakta ;Uslovija kontrakta: Edinica izmerenija;Uslovija kontrakta: Kolichestvo (ob#em);Uslovija kontrakta: Nachal'naja (maksimal'naja) cena kontrakta (v tys. rublej);Uslovija kontrakta: Razmer obespechenija zajavki (v tys. rublej) / razmer obespechenija ispolnenija kontrakta (v tys. rublej);Grafik osushhestvlenija procedur zakupki: srok razmeshhenija zakaza (mes., god);Grafik osushhestvlenija procedur zakupki: srok ispolnenija kontrakta (mes., god);Sposob razmeshhenija zakaza;Obosnovanie vnesenija izmenenij
1,03040824800192E+019;70.32.2;74.70.1;135;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;08.2015г.;08.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;72.60;7260000;136;Okazanie uslug po soprovozhdeniju oficial'nogo sajta;Okazanie uslug po soprovozhdeniju oficial'nogo sajta Mintransa Rossii;Kompleks uslug;1;100;-;08.2015г.;08.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;137;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;1440;14,4 / 432 / 0;09.2015г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;36.6;3691610;138;Izgotovlenie i postavka sluzhebnyh udostoverenij ;Vklejki, galogrammy, laminacionnye pakety.;sht.;400;450;4,5 / 135 / 0;09.2015г.;09.2015г.;Zapros kotirovok;-
1,03040824800192E+019;36.6;3691610;139;Postavka konvertov;Postavka konvertov;sht.;1;100;-;08.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;51.47.2;3699010;140;Priobretenie pit'evoj vody;Priobretenie pit'evoj vody na 2015 god;Komplekt;1;99,87;-;08.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;141;Okazanie uslug vnutrizonovoj, mezhdugorodnoj, mezhdunarodnoj telefonnoj svjazi telefonnoj svjazi v 2015 godu;Okazanie uslug vnutrizonovoj, mezhdugorodnoj, mezhdunarodnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;100;-;08.2015г.;10.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;55.5;5520010;142;Organizacija sinhronnyh perevodov v hode priemov inostrannyh delegacij;Organizacija sinhronnyh perevodov v hode priemov inostrannyh delegacij;sht.;1;300;-;08.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;51.47.2;2109404;143;Priobretenie blankov;Priobretenie blankov na 2015 god;Komplekt;1;100;-;08.2014г.;09.2014г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;144;Postavka zapasnyh chastej dlja orgtehniki;Postavka zapasnyh chastej dlja orgtehniki;sht.;1;318,92;3,189162 / 95,67486 / 0;08.2015г.;08.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;145;Okazanie uslug mestnoj telefonnoj svjazi ;Okazanie uslug mestnoj telefonnoj svjazi;Kompleks uslug;1;400;4 / 120 / 0;09.2015г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;64.20;6420000;146;Okazanie uslug vnutrizonovoj, mezhdugorodnoj, mezhdunarodnoj telefonnoj svjazi telefonnoj svjazi v 2015 godu;Okazanie uslug vnutrizonovoj, mezhdugorodnoj, mezhdunarodnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;400;4 / 120 / 0;09.2015г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;64.20;6420000;147;Okazanie uslug telegrafnoj svjazi;Okazanie uslug telegrafnoj svjazi;Kompleks uslug;1;400;4 / 120 / 0;09.2015г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;64.20;6420000;148;Okazanie uslug svjazi po predostavleniju dostupa k seti Internet  v 2015 godu;Okazanie uslug svjazi po predostavleniju dostupa k seti Internet  v 2015 godu;Kompleks uslug;1;160;1,6 / 48 / 0;09.2015г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.32.2;3000000;149;Priobretenie flagov;Priobretenie flagov;Komplekt;1;18,68;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;150;Postavka bytovoj tehniki;Postavka bytovoj tehniki;sht.;1;100;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;72.60;7260000;151;Okazanie uslug po izgotovleniju usilennogo kljucha jelektronnoj cifrovoj podpisi;Okazanie uslug po izgotovleniju usilennogo kljucha jelektronnoj cifrovoj podpisi;Kompleks uslug;1;5;-;06.2015г.;08.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;152;Postavka kartridzhej dlja orgtehniki;Kartridzhi i tonery dlja vysokoskorostnoj pechati;sht.;1;100;-;08.2015г.;08.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;153;Postavka kartridzhej dlja orgtehniki;Kartridzhi i tonery dlja vysokoskorostnoj pechati;sht.;1;100;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;154;Postavka kartridzhej dlja orgtehniki;Kartridzhi i tonery dlja vysokoskorostnoj pechati;sht.;1;100;-;10.2015г.;10.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;155;Okazanie uslug po predostavleniju kanala peredachi dannyh;Okazanie uslug po predostavleniju kanala peredachi dannyh;sht.;1;95,8;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;156;Postavka kartridzhej dlja orgtehniki;Kartridzhi i tonery dlja vysokoskorostnoj pechati;sht.;1;3000;30 / 900 / 0;10.2015г.;10.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;64.20;6420000;157;Okazanie uslug vnutrizonovoj, mezhdugorodnoj, mezhdunarodnoj telefonnoj svjazi telefonnoj svjazi v 2015 godu;Okazanie uslug vnutrizonovoj, mezhdugorodnoj, mezhdunarodnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;100;-;09.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;7020020;158;Okazanie uslug po himchistke shtor;Okazanie uslug po himchistke shtor;Kompleks uslug;1;100;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;7020020;159;Okazanie uslug po vyvozu musora;Okazanie uslug po vyvozu musora;Kompleks uslug;1;100;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;72.60;7260000;160;Okazanie uslug po soprovozhdeniju oficial'nogo sajta;Okazanie uslug po soprovozhdeniju oficial'nogo sajta Mintransa Rossii;Kompleks uslug;1;100;-;08.2015г.;08.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;161;Okazanie uslug mestnoj telefonnoj svjazi ;Okazanie uslug mestnoj telefonnoj svjazi;Kompleks uslug;1;100;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.11.;64.11.15.219;162;Okazanie uslug special'noj svjazi po dostavke otpravlenij;Okazanie uslug special'noj svjazi po dostavke otpravlenij;Kompleks uslug;1;150; -;10.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.20;70.20.12;163;Okazanie uslug po ohrane ;Okazanie uslug po ohrane ;Kompleks uslug;1;99,9;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;3000000;164;Priobretenie parkovochnyh stolbikov;Priobretenie parkovochnyh stolbikov;Komplekt;1;42;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;72.60;7260000;165;Zakupka PO ViPNet Klient (KS1);Zakupka PO ViPNet Klient (KS1);Komplekt;1;47,99;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;166;Postavka kartridzhej dlja orgtehniki;Kartridzhi i tonery dlja vysokoskorostnoj pechati;sht.;1;11,5;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;72.60;7260000;167;Okazanie uslug po izgotovleniju usilennogo kljucha jelektronnoj cifrovoj podpisi;Okazanie uslug po izgotovleniju usilennogo kljucha jelektronnoj cifrovoj podpisi;Kompleks uslug;1;5;-;08.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;168;Postavka rashodnyh materialov dlja pechatajushhej tehniki;Postavka rashodnyh materialov dlja pechatajushhej tehniki;sht.;1;94,69;-;09.2015г.;09.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;3000000;169;Priobretenie shtampov;Priobretenie shtampov;Komplekt;1;0,5;-;09.2015г.;10.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;72.60;7260000;170;Zakupka PO ViPNet Klient (KS1);Zakupka PO ViPNet Klient (KS1);Komplekt;1;47,99;-;09.2015г.;10.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;171;Postavka rashodnyh materialov dlja pechatajushhej tehniki;Postavka rashodnyh materialov dlja pechatajushhej tehniki;sht.;1;99,8;-;10.2015г.;10.2015г.;Edinstvennyj postavshhik;-
Itogovaja informacija o sovokupnyh godovyh ob#emah zakupok u sub#ektov malogo predprinimatel'stva, social'no orientirovannyh nekommercheskih organizacij (tys. rub.);-;-;-;-;-;-;-;550073,6;-;-;-;-;-
"Itogovaja informacija ob ob#emah zakupok planiruemyh  v tekushhem godu/  sovokupnyj godovoj ob#em zakupok, opredelennyj v sootvetstvii s punktom 16 stat'i 3 Federal'nogo zakona N 44-F
";-;-;-;-;-;-;-;1489647,37 /  1732847,37;-;-;-;-;-
